feature,importance
numeric__login_fail_count,497.0
numeric__max_overdue_days,457.0
numeric__judicial_risk_score,386.0
numeric__social_score,349.0
numeric__telecom_score,303.0
numeric__debt_income_ratio,268.0
numeric__reg_to_apply_days,253.0
numeric__overdue_history,248.0
numeric__job_stability,241.0
numeric__ecomm_risk_score,238.0
numeric__credit_utilization,217.0
numeric__night_activity_ratio,210.0
numeric__multi_loan_count,200.0
numeric__credit_query_times,193.0
numeric__apply_hour_cos,189.0
numeric__click_frequency,184.0
numeric__apply_hour_sin,182.0
numeric__consumption_level,176.0
numeric__income_level,165.0
numeric__app_duration,164.0
numeric__loan_amount_request,160.0
numeric__device_risk_score,146.0
numeric__credit_length_months,141.0
numeric__age,137.0
numeric__session_count,126.0
numeric__page_depth,110.0
numeric__emulator_flag,102.0
numeric__blacklist_hit,79.0
numeric__gps_anomaly,78.0
numeric__apply_weekday_sin,65.0
numeric__ip_change_freq,46.0
numeric__apply_weekday_cos,43.0
categorical__marital_status_1,24.0
categorical__education_level_5,20.0
categorical__city_tier_4,16.0
categorical__education_level_3,16.0
categorical__repayment_period_24,15.0
categorical__education_level_4,15.0
categorical__marital_status_0,15.0
categorical__device_type_0,14.0
categorical__education_level_2,13.0
categorical__city_tier_3,12.0
categorical__repayment_period_6,10.0
categorical__device_type_2,9.0
categorical__marital_status_2,8.0
categorical__city_tier_2,7.0
categorical__education_level_1,7.0
categorical__device_type_1,6.0
categorical__repayment_period_36,6.0
categorical__gender_0,4.0
categorical__city_tier_1,4.0
categorical__gender_1,3.0
categorical__repayment_period_3,3.0
categorical__repayment_period_12,3.0
numeric__apply_is_weekend,3.0
numeric__apply_is_night,1.0
