feature_name,feature_domain,feature_type,allowed_min,allowed_max,category_values,feature_schema_version
credit_query_times,credit,continuous,0.0,,,credit_features_v1
multi_loan_count,credit,continuous,0.0,,,credit_features_v1
overdue_history,credit,continuous,0.0,,,credit_features_v1
credit_utilization,credit,continuous,0.0,1.0,,credit_features_v1
credit_length_months,credit,continuous,1.0,,,credit_features_v1
max_overdue_days,credit,continuous,0.0,,,credit_features_v1
social_score,external,continuous,300.0,900.0,,credit_features_v1
telecom_score,external,continuous,0.0,100.0,,credit_features_v1
ecomm_risk_score,external,continuous,0.0,100.0,,credit_features_v1
judicial_risk_score,external,continuous,0.0,100.0,,credit_features_v1
blacklist_hit,external,categorical,,,0|1,credit_features_v1
app_duration,behavior,continuous,1.0,,,credit_features_v1
click_frequency,behavior,continuous,0.0,,,credit_features_v1
page_depth,behavior,continuous,1.0,,,credit_features_v1
session_count,behavior,continuous,1.0,,,credit_features_v1
night_activity_ratio,behavior,continuous,0.0,1.0,,credit_features_v1
login_fail_count,behavior,continuous,0.0,,,credit_features_v1
reg_to_apply_days,behavior,continuous,0.0,,,credit_features_v1
device_risk_score,device,continuous,0.0,1.0,,credit_features_v1
ip_change_freq,device,continuous,0.0,,,credit_features_v1
gps_anomaly,device,categorical,,,0|1,credit_features_v1
device_type,device,categorical,,,0|1|2,credit_features_v1
emulator_flag,device,categorical,,,0|1,credit_features_v1
age,profile,continuous,18.0,65.0,,credit_features_v1
income_level,profile,continuous,2000.0,,,credit_features_v1
consumption_level,profile,continuous,500.0,,,credit_features_v1
education_level,profile,categorical,,,1|2|3|4|5,credit_features_v1
job_stability,profile,continuous,0.0,1.0,,credit_features_v1
marital_status,profile,categorical,,,0|1|2,credit_features_v1
gender,profile,categorical,,,0|1,credit_features_v1
city_tier,profile,categorical,,,1|2|3|4,credit_features_v1
debt_income_ratio,loan,continuous,0.0,2.0,,credit_features_v1
loan_amount_request,loan,continuous,1000.0,,,credit_features_v1
repayment_period,loan,categorical,,,3|6|12|24|36,credit_features_v1
